Faithfulness Score,Answer Relevancy,Context Precision Score,Context Recall Score,Top K,Chunk Size,Chunk overlap
0.6666666666666667,0.9236613992188721,0.13333333333333333,1.0,0.7,1000.0,150.0
0.6666666666666667,0.9236613992188721,0.13333333333333333,1.0,0.8,1000.0,150.0
0.6666666666666667,0.9236613992188721,0.13333333333333333,1.0,0.9,1000.0,150.0

1.0,0.9722984770254767,0.21428571428571427,0.0,0.7,1000.0,150.0
1.0,0.9714300745928437,0.21428571428571427,0.0,0.8,1000.0,150.0
0.875,0.9714300745928437,0.21428571428571427,0.0,0.9,1000.0,150.0

0.8571428571428572,0.9308184506138001,0.2222222222222222,0.0,0.7,1000.0,150.0
0.47058823529411764,0.9165801917900304,0.2222222222222222,0.0,0.8,1000.0,150.0
0.7142857142857143,0.9358877888005349,0.2222222222222222,0.0,0.9,1000.0,150.0

0.75,0.9712528297456521,0.06493506493506493,1.0,0.7,1000.0,150.0
0.8333333333333334,0.8960995387526701,0.06493506493506493,1.0,0.8,1000.0,150.0
0.5714285714285714,0.9431614705862076,0.06493506493506493,1.0,0.9,1000.0,150.0

0.0,0.8935293060782463,0.0,0.25,0.7,1000.0,150.0
0.8,0.896598455723908,0.0,0.25,0.8,1000.0,150.0
0.25,0.8954474752770679,0.0,0.25,0.9,1000.0,150.0

0.4,0.7117779655402413,0.05714285714285714,0.8,0.7,1000.0,150.0
0.19999999999999996,0.7285148857891147,0.05714285714285714,0.8,0.8,1000.0,150.0
0.4,0.9662217045510074,0.05714285714285714,0.6,0.9,1000.0,150.0
